AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,11
hitrate;0,66
Number of trades;267
Return;44,36
2017-01-03;100000,0;0,0
2017-01-04;100000,0;0,0
2017-01-05;100000,0;0,0
2017-01-06;100000,0;0,0
2017-01-09;100000,0;0,0
2017-01-10;100000,0;0,0
2017-01-11;100000,0;0,0
2017-01-12;100000,0;0,0
2017-01-13;100000,0;0,0
2017-01-17;100000,0;0,0
2017-01-18;100000,0;0,0
2017-01-19;100000,0;0,0
2017-01-20;100000,0;0,0
2017-01-23;100000,0;0,0
2017-01-24;100000,0;0,0
2017-01-25;100000,0;0,0
2017-01-26;100000,0;0,0
2017-01-27;100000,0;0,0
2017-01-30;100000,0;0,0
2017-01-31;100000,0;0,0
2017-02-01;100000,0;0,0
2017-02-02;100000,0;0,0
2017-02-03;100000,0;0,0
2017-02-06;100000,0;0,0
2017-02-07;100000,0;0,0
2017-02-08;100000,0;0,0
2017-02-09;100000,0;0,0
2017-02-10;100000,0;0,0
2017-02-13;100000,0;0,0
2017-02-14;100000,0;0,0
2017-02-15;100000,0;0,0
2017-02-16;100000,0;0,0
2017-02-17;100000,0;0,0
2017-02-21;100000,0;0,0
2017-02-22;100000,0;0,0
2017-02-23;100000,0;0,0
2017-02-24;100000,0;0,0
2017-02-27;100000,0;0,0
2017-02-28;100000,0;0,0
2017-03-01;100000,0;0,0
2017-03-02;100000,0;0,1248195039
2017-03-03;100046,79961;0,12522889336629725
2017-03-06;100050,69902500001;0,1252629870368864
2017-03-07;100076,05;0,12548457288232298
2017-03-08;100191,09922;0,22115726981241518
2017-03-09;100241,09847;0,2215457487194873
2017-03-10;100292,24897300001;0,12387377731797192
2017-03-13;100321,359186;0,12412800255140276
2017-03-14;100274,49897300001;0,1237186906248258
2017-03-15;100270,239115;0,12368146288926897
2017-03-16;100228,349399;0,12331521187480832
2017-03-17;100138,889754;0,12253202054808952
2017-03-20;100085,639754;0,24584956504728342
2017-03-21;99713,838896;0,2430375804533602
2017-03-22;99689,529182;0,2428529919606778
2017-03-23;99773,89861;0,24349324017058172
2017-03-24;99598,00932499999;0,5257202378326752
2017-03-27;99481,51783600001;0,6834380776646758
2017-03-28;99771,730788;0,44312492328054814
2017-03-29;99923,441639;0,31403441362004353
2017-03-30;99821,342215;0,3133327932080241
2017-03-31;99746,692264;0,3902360001069278
2017-04-03;99743,292425;0,15644480566684082
2017-04-04;99783,313121;0,0
2017-04-05;99783,313121;0,0
2017-04-06;99783,313121;0,0
2017-04-07;99783,313121;0,12465843569371494
2017-04-10;99952,337677;0,12613868340671328
2017-04-11;99887,285399;0,1255695752457156
2017-04-12;99802,078677;0,3744690724824832
2017-04-13;99320,02667699999;0,3714330439516783
2017-04-17;100042,269009;0,3759709024853911
2017-04-18;100116,91200899999;0,3764361525914032
2017-04-19;99925,92600899999;0,3752443501261405
2017-04-20;100045,18967699999;0,0
2017-04-21;100045,18967699999;0,0
2017-04-24;100045,18967699999;0,0
2017-04-25;100045,18967699999;0,0
2017-04-26;100045,18967699999;0,0
2017-04-27;100045,18967699999;0,12446355816008478
2017-04-28;99994,06967699999;0,39399257231213414
2017-05-01;99932,30813299998;0,3936180392396101
2017-05-02;99890,029393;0,24513437860411658
2017-05-03;99949,66910900001;0,37127556596041317
2017-05-04;99908,623524;0,21911346849595298
2017-05-05;99829,70099099999;0,21849612173000965
2017-05-08;100177,382491;0,2212084549323384
2017-05-09;100265,645024;0,22189401492080907
2017-05-10;100175,280057;0,34991697887996653
2017-05-11;100185,175853;0,51193149563618
2017-05-12;100533,01108899999;0,16120137170320184
2017-05-15;100544,8618;0,16130023662730822
2017-05-16;100777,122748;0,16323318724959793
2017-05-17;100319,71251099999;0,15941792804924956
