AAPL;MSFT;AMZN;GOOGL;META;BRK-B;JNJ;JPM;V;PG;XOM;VZ;INTC;CSCO;KO;HD;MRK;PFE;DIS;WMT;BA;GS;MMM;AXP;CAT;TRV;MCD;IBM;JPM;NKE;GOOG;TSLA;NVDA;ADBE;NFLX;CRM;PYPL;AVGO;AMGN;TXN;
percent/trade;1,03
hitrate;0,68
Number of trades;510
Return;104,37
2017-01-03;100000,0;0,0
2017-01-04;100000,0;0,0
2017-01-05;100000,0;0,0
2017-01-06;100000,0;0,0
2017-01-09;100000,0;0,0
2017-01-10;100000,0;0,0
2017-01-11;100000,0;0,0
2017-01-12;100000,0;0,0
2017-01-13;100000,0;0,0
2017-01-17;100000,0;0,0
2017-01-18;100000,0;0,0
2017-01-19;100000,0;0,0
2017-01-20;100000,0;0,0
2017-01-23;100000,0;0,0
2017-01-24;100000,0;0,0
2017-01-25;100000,0;0,0
2017-01-26;100000,0;0,0
2017-01-27;100000,0;0,0
2017-01-30;100000,0;0,08320683404
2017-01-31;99963,235394;0,0828696546820374
2017-02-01;99913,24079800001;0,2351352482850328
2017-02-02;99845,341232;0,42562051059804623
2017-02-03;100096,60935000001;0,4270623501793969
2017-02-06;100041,217844;0,42674512214127824
2017-02-07;100010,347893;0,34282461668548775
2017-02-08;99981,728127;0,4371183609617746
2017-02-09;100359,277297;0,43923590805209706
2017-02-10;100339,628127;0,4391260955166286
2017-02-13;100834,430292;0,4418783461261349
2017-02-14;100990,92847700001;0,15344744556467058
2017-02-15;100981,32823700001;0,15336696427335586
2017-02-16;100978,92775700001;0,15334683803796453
2017-02-17;101002,929197;0,0
2017-02-21;101002,929197;0,0
2017-02-22;101002,929197;0,0
2017-02-23;101002,929197;0,1246982894469767
2017-02-24;101014,922066;0,12480220853670564
2017-02-27;101039,82845900001;0,12501794544441192
2017-02-28;101045,364566;0,1250658842518763
2017-03-01;101303,663459;0,0
2017-03-02;101303,663459;0,2701547037247704
2017-03-03;101433,482271;0,2710887902530541
2017-03-06;101398,04121700002;0,5460356274783481
2017-03-07;101451,959604;0,6464957589583515
2017-03-08;101445,297667;0,4991251571976128
2017-03-09;101445,135343;0,4991243557396848
2017-03-10;101472,191942;0,4992579094867385
2017-03-13;101542,54665;0,2504521571894218
2017-03-14;101446,84621500001;0,3747646053424431
2017-03-15;101572,28437000001;0,3755367487950886
2017-03-16;101507,72208500002;0,3751395694123954
2017-03-17;101261,14781000001;0,49873110599890597
2017-03-20;101419,57103700002;0,4995141169599107
2017-03-21;100748,13298600001;0,8108285144534796
2017-03-22;101202,70900300001;0,5577019684159531
2017-03-23;101226,219211;0,7788052427767957
2017-03-24;101003,290372;0,9997133857432428
2017-03-27;100915,38971400002;0,9997131360927005
2017-03-28;102303,279725;0,6354366253921191
2017-03-29;102333,016965;0,63554256489129
2017-03-30;102438,32363;0,6359172273776109
2017-03-31;102093,114289;0,6346861475454231
2017-04-03;102036,06196500002;0,25466211499727587
2017-04-04;102007,99249100001;0,254457020848539
2017-04-05;101768,45313200001;0,48523888915702057
2017-04-06;101755,923481;0,3782482603205573
2017-04-07;101672,431798;0,3777376882978762
2017-04-10;101655,052293;0,3098458885173277
2017-04-11;101316,253173;0,3075380297255557
2017-04-12;101353,653173;0,4223863650866847
2017-04-13;101052,65317300001;0,6644833083901754
2017-04-17;101788,83247800001;0,666909905088773
2017-04-18;101381,092451;0,6655702651124314
2017-04-19;100985,669548;0,66426076073215
2017-04-20;101844,42360400001;0,6670917201826221
2017-04-21;101384,65189800001;0,6655820063858321
2017-04-24;102812,471827;0,3628627859349132
2017-04-25;103150,15251300001;0,0
2017-04-26;103150,15251300001;0,12466641076831501
2017-04-27;103159,99751300001;0,12474994759842109
2017-04-28;103147,46751300001;0,37427904223760383
2017-05-01;103934,907163;0,3790196775585684
2017-05-02;104184,843588;0,38050939138297185
2017-05-03;104063,906088;0,37978945256560454
2017-05-04;103921,469663;0,3789393820901742
2017-05-05;104574,53431300001;0,12461344040984197
